word,lemma,frequency
the,the,25131726
and,and,12368293
of,of,11971724
a,a,10327063
in,in,8035789
to,to,7277326
I,i,4725236
to,to,4456281
it,it,4453425
is,be,4237443
that,that,3921414
for,for,3787585
you,you,3568520
was,be,3384649
he,he,3323458
with,with,3095076
on,on,2871374
's,'s,2439692
at,at,2275149
this,this,2174309
they,they,2131091
be,be,2118716
are,be,2104334
have,have,2095853
we,we,2092768
his,his,2054779
but,but,2048800
that,that,1968632
from,from,1884593
not,not,1871822
n't,n't,1858869
she,she,1719851
by,by,1698219
or,or,1562165
do,do,1520565
an,a,1495549
as,as,1480797
had,have,1385700
what,what,1361267
were,be,1239291
their,their,1236355
all,all,1227134
has,have,1192491
who,who,1167096
her,her,1127332
my,my,1072807
if,if,1072615
would,would,1057682
said,say,1037828
about,about,1012181
can,can,987145
as,as,945873
up,up,919716
been,be,900765
so,so,896924
there,there,895233
one,one,878532
will,will,860681
me,me,836298
just,just,789790
people,people,787366
when,when,780204
which,which,779666
them,them,775168
him,him,775020
did,do,772423
out,out,772414
your,your,769838
some,some,769053
into,into,765592
know,know,729909
time,time,721409
could,could,711592
now,now,695697
than,than,665133
like,like,659427
',',640161
think,think,636809
how,how,626966
then,then,623879
other,other,621653
our,our,610183
its,its,603623
these,these,586061
get,get,584993
two,two,584444
says,say,570397
going,go,537252
also,also,537098
first,first,530956
years,year,527547
because,because,506269
new,new,492693
well,well,489487
more,more,486372
see,see,482714
no,no,476659
here,here,476046
way,way,467800
her,her,461605
very,very,445323
many,many,437522
those,those,434590
only,only,429758
back,back,424619
go,go,423476
say,say,422280
one,one,422033
us,us,417833
even,even,415055
good,good,410105
make,make,410091
through,through,394093
any,any,393870
there,there,381355
down,down,379010
want,want,375156
more,more,373740
does,do,367907
may,may,363929
after,after,360173
year,year,355002
should,should,354862
over,over,346899
still,still,341583
world,world,337070
last,last,333047
take,take,332647
day,day,329417
in,in,327849
too,too,322209
as,as,321322
life,life,319765
when,when,310641
really,really,308802
man,man,305734
three,three,305225
between,between,301388
never,never,301061
something,something,295287
being,be,294908
much,much,280652
school,school,277496
out,out,276955
president,president,274806
another,another,274675
own,own,273741
on,on,272922
why,why,272531
right,right,269177
while,while,269151
most,most,258732
things,thing,254898
state,state,254000
same,same,253754
come,come,253717
children,child,253431
house,house,252712
every,every,245745
where,where,245573
american,american,243074
might,might,239760
about,about,239440
over,over,238978
women,woman,237492
again,again,237155
such,such,231593
against,against,231459
percent,percent,226940
few,few,226559
each,each,226115
where,where,225423
students,student,224968
most,most,222608
family,family,220939
more,more,220753
look,look,219384
during,during,217897
work,work,216058
so,so,214831
thing,thing,211671
off,off,211579
today,today,211033
great,great,208025
big,big,207742
always,always,207098
old,old,206861
next,next,204988
high,high,202671
came,come,201415
government,government,201118
city,city,200294
before,before,199507
got,get,198470
lot,lot,197277
part,part,196113
without,without,195831
night,night,194320
find,find,194132
country,country,191480
place,place,191204
tell,tell,190791
must,must,190684
national,national,190465
need,need,190335
money,money,188474
different,different,186925
under,under,186444
yes,yes,186378
went,go,184543
water,water,182459
war,war,178200
men,man,177630
small,small,177437
ca,can,177178
mean,mean,176428
made,make,176184
though,though,175276
room,room,175248
mother,mother,174147
group,group,172647
four,four,172595
took,take,172387
little,little,171727
system,system,170545
days,day,168944
black,black,168338
give,give,167750
like,like,167297
both,both,166517
away,away,166055
number,number,165705
around,around,165431
until,until,164965
fact,fact,164805
important,important,164447
woman,woman,163861
case,case,163296
after,after,163198
made,make,162309
political,political,162090
times,time,161988
doing,do,161616
let,let,161495
head,head,161350
since,since,161185
often,often,160220
among,among,159378
home,home,159370
however,however,159244
hand,hand,159216
million,million,158813
point,point,157480
help,help,156461
social,social,156243
ever,ever,156047
keep,keep,155606
yet,yet,155165
father,father,154625
week,week,154103
health,health,153487
long,long,151993
sure,sure,151900
business,business,151601
use,use,149459
feel,feel,148066
kind,kind,147762
young,young,147566
company,company,147470
eyes,eye,146341
power,power,145988
university,university,145617
almost,almost,145415
right,right,145404
done,do,145306
work,work,145048
information,information,144930
best,good,144894
five,five,144724
later,late,144601
nothing,nothing,144597
once,once,144550
much,much,144403
side,side,143688
ago,ago,143081
got,get,143011
white,white,142584
thought,think,142422
real,real,141957
end,end,141829
around,around,141124
news,news,140880
program,program,140818
several,several,140107
believe,believe,139978
whether,whether,139640
knew,know,139008
told,tell,138587
research,research,138586
public,public,138553
story,story,138313
together,together,137947
anything,anything,137800
problem,problem,137710
such,such,137063
education,education,136995
question,question,136389
back,back,136354
trying,try,135843
making,making,134695
only,only,133965
looking,look,132810
least,least,132652
already,already,132425
center,center,132398
table,table,131879
large,large,131200
having,have,130603
called,call,130036
child,child,129898
morning,morning,129491
getting,get,129464
seen,see,129459
study,study,129110
put,put,128777
job,job,128761
yeah,yeah,128461
within,within,127569
face,face,127131
history,history,126972
maybe,maybe,125907
saw,see,125622
wanted,want,125207
community,community,125007
others,other,124985
asked,ask,124969
actually,actually,124496
across,across,123821
before,before,123749
found,find,123581
himself,himself,123412
enough,enough,122290
had,have,122106
including,including,121890
oh,oh,121717
far,far,121647
although,although,121375
no,no,121243
both,both,120850
law,law,120840
toward,toward,120550
coming,coming,120367
everything,everything,120337
off,off,119988
team,team,119776
working,work,119713
book,book,119452
area,area,119389
second,second,119319
air,air,119179
body,body,119152
able,able,118992
door,door,118911
music,music,117751
months,month,116652
office,office,116123
talk,talk,115706
human,human,115573
person,person,115459
began,begin,115250
minutes,minute,115240
saying,saying,114784
parents,parent,114208
used,use,114168
probably,probably,113570
name,name,113505
line,line,113469
car,car,112530
home,home,112429
game,game,112193
kids,kid,111641
using,use,111470
makes,make,111127
someone,someone,110979
try,try,110671
court,court,110338
course,course,109981
food,food,109507
behind,behind,109465
care,care,109380
am,be,108844
problems,problem,108163
local,local,107246
looked,look,106086
call,call,105721
process,process,105618
members,member,105396
ask,ask,104982
use,use,104968
former,former,104797
sense,sense,104423
moment,moment,104136
six,six,104028
street,street,103613
talking,talk,103156
age,age,103149
long,long,101817
little,little,101775
economic,economic,101634
idea,idea,101452
else,else,101079
party,party,100692
college,college,100343
police,police,99926
hours,hour,99657
thank,thank,99609
felt,feel,99504
bad,bad,98744
words,word,98711
early,early,98635
major,major,98251
taking,taking,97844
along,along,97826
up,up,97826
hands,hand,97717
perhaps,perhaps,97661
better,good,97327
according,according,97154
possible,possible,97015
military,military,96981
sometimes,sometimes,96797
development,development,96075
whole,whole,96052
themselves,themselves,96031
understand,understand,95930
comes,come,95253
hear,hear,95197
issue,issue,95059
death,death,94931
service,service,94929
art,art,94845
free,free,94830
federal,federal,94692
given,give,94576
control,control,94241
taken,take,94116
friends,friend,93811
international,international,93514
finally,finally,93460
become,become,93334
live,live,93220
data,data,93214
security,security,92791
feet,foot,92165
groups,group,92067
policy,policy,91819
general,general,91496
even,even,91443
right,right,91272
show,show,91104
better,better,90516
TRUE,TRUE,90378
found,find,89680
became,become,89510
started,start,89488
seems,seem,89142
order,order,89079
gave,give,88769
level,level,88414
voice,voice,88352
especially,especially,87874
heart,heart,87809
wife,wife,87765
remember,remember,87385
because,because,87362
everyone,everyone,87347
full,full,87329
hard,hard,87127
known,know,86774
special,special,86402
oil,oil,86186
market,market,86120
play,play,85923
department,department,85724
season,season,85474
questions,question,85136
turned,turn,85050
bring,bring,84990
role,role,84951
church,church,84939
issues,issue,84789
whose,whose,84398
gone,go,84334
experience,experience,84305
photo,photo,83891
show,show,83736
building,building,83672
color,color,83597
seemed,seem,83589
based,base,82775
reason,reason,81997
programs,program,81989
half,half,81567
start,start,81277
director,director,81239
recent,recent,81232
support,support,81178
mind,mind,81068
society,society,80984
town,town,80709
companies,company,80111
itself,itself,79799
provide,provide,79716
student,student,79592
north,north,79231
hair,hair,79227
quite,quite,79205
looks,look,79170
leave,leave,79120
road,road,78921
space,space,78875
word,word,78740
schools,school,78211
pay,pay,78020
americans,american,77904
son,son,77805
per,per,77704
studies,study,77686
guy,guy,77570
teachers,teacher,77491
class,class,77352
open,open,77343
ways,way,77186
red,red,76978
personal,personal,76974
certain,certain,76865
third,third,76841
weeks,week,76737
love,love,76672
love,love,76416
wo,will,76313
either,either,76144
field,field,76024
clear,clear,75633
results,result,75582
nearly,nearly,75559
evidence,evidence,75490
interest,interest,75322
simply,simply,75255
plan,plan,75220
strong,strong,75122
phone,phone,75040
couple,couple,74954
services,service,74753
girl,girl,74702
left,leave,74374
officials,official,74105
attention,attention,74030
goes,go,74002
ground,ground,73800
running,running,73501
energy,energy,73500
takes,take,73322
available,available,73262
change,change,73187
light,light,73109
boy,boy,73088
stay,stay,72927
month,month,72812
likely,likely,72748
difficult,difficult,72655
private,private,72545
stop,stop,72029
friend,friend,71975
move,move,71834
nation,nation,71770
rights,right,71678
less,less,71447
congress,congress,71041
view,view,70824
turn,turn,70751
higher,high,70448
seem,seem,69900
look,look,69692
south,south,69638
single,single,69547
low,low,69438
industry,industry,69220
summer,summer,69145
administration,administration,69128
myself,myself,68978
common,common,68972
areas,area,68930
force,force,68897
medical,medical,68784
park,park,68647
relationship,relationship,68625
science,science,68304
late,late,68300
current,current,68298
significant,significant,68085
photograph,photograph,67852
anyone,anyone,67571
wrong,wrong,67509
county,county,67334
certainly,certainly,67325
technology,technology,67265
west,west,67220
position,position,67076
land,land,66804
cases,case,66563
report,report,66483
model,model,66436
action,action,66314
campaign,campaign,66015
paper,paper,66013
change,change,66008
economy,economy,65816
include,include,65764
defense,defense,65571
past,past,65563
situation,situation,65295
left,leave,65224
quickly,quickly,65014
nature,nature,64871
countries,country,64846
wants,want,64773
blood,blood,64598
foreign,foreign,64462
soon,soon,64435
rest,rest,64415
floor,floor,64334
effect,effect,64310
tax,tax,64310
husband,husband,64305
gets,get,64198
recently,recently,64102
workers,worker,64038
happened,happen,64033
meet,meet,63963
upon,upon,63877
before,before,63800
continue,continue,63751
no,no,63677
dead,dead,63614
begin,begin,63478
natural,natural,63421
top,top,63244
said,say,63211
than,than,63201
future,future,63148
happen,happen,63000
near,near,62943
particular,particular,62768
series,series,62745
thus,thus,62743
decision,decision,62618
baby,baby,62614
culture,culture,62403
easy,easy,62169
run,run,62140
practice,practice,62020
short,short,61953
states,state,61879
training,training,61807
other,other,61805
similar,similar,61782
exactly,exactly,61712
period,period,61457
ok,ok,61229
century,century,61153
east,east,61010
herself,herself,61009
each,each,60987
performance,performance,60912
hour,hour,60900
lives,life,60856
buy,buy,60844
billion,billion,60806
longer,long,60762
bed,bed,60734
learn,learn,60581
teacher,teacher,60502
usually,usually,60310
physical,physical,60285
language,language,60153
read,read,60036
population,population,60001
fire,fire,59873
project,project,59857
matter,matter,59834
seven,seven,59711
away,away,59672
media,media,59663
books,book,59659
central,central,59607
families,family,59582
pretty,pretty,59579
tried,try,59504
miles,mile,59376
despite,despite,59300
press,press,59281
means,mean,59255
form,form,59220
everybody,everybody,59019
figure,figure,58979
chance,chance,58882
hold,hold,58867
site,site,58716
playing,play,58639
left,left,58588
ready,ready,58534
less,less,58470
hot,hot,58346
drug,drug,58322
eight,eight,58249
patients,patient,58235
add,add,58145
beyond,beyond,58063
knowledge,knowledge,57974
film,film,57972
rate,rate,57876
come,come,57733
growth,growth,57709
record,record,57512
wrote,write,57469
whatever,whatever,57461
changes,change,57415
serious,serious,57309
daughter,daughter,57260
computer,computer,57171
board,board,57133
particularly,particularly,57060
environmental,environmental,57040
systems,system,57039
risk,risk,57020
fine,fine,57007
knows,know,56981
financial,financial,56893
tonight,tonight,56864
staff,staff,56848
behavior,behavior,56810
well,well,56681
cup,cup,56660
cut,cut,56556
forward,forward,56242
river,river,56026
result,result,55919
poor,poor,55777
happy,happy,55759
earth,earth,55744
games,game,55707
TV,tv,55656
leaders,leader,55428
create,create,55404
moving,moving,55027
price,price,54898
arms,arm,54748
blue,blue,54736
guys,guy,54671
girls,girl,54540
thanks,thanks,54370
living,live,54358
players,player,54257
treatment,treatment,54234
analysis,analysis,54084
need,need,54067
course,course,54055
success,success,54042
outside,outside,53755
heard,hear,53703
learning,learning,53663
race,race,53592
movie,movie,53531
hospital,hospital,53318
army,army,53276
television,television,53263
author,author,53195
levels,level,53112
committee,committee,53092
jobs,job,53068
forces,force,53002
value,value,52968
simple,simple,52945
career,career,52920
democratic,democratic,52859
sex,sex,52771
since,since,52718
stories,story,52708
difference,difference,52617
window,window,52606
effort,effort,52590
sat,sit,52553
sun,sun,52510
wall,wall,52502
test,test,52399
list,list,52381
rather,rather,52378
various,various,52368
called,call,52294
older,old,52293
green,green,52115
religious,religious,52003
management,management,51962
quality,quality,51958
approach,approach,51852
heard,hear,51785
ability,ability,51759
trade,trade,51584
clearly,clearly,51571
little,little,51506
nice,nice,51450
enough,enough,51430
size,size,51385
indeed,indeed,51303
wait,wait,51215
sound,sound,51182
movement,movement,51054
king,king,50941
member,member,50870
watching,watch,50867
set,set,50862
entire,entire,50815
public,public,50767
cultural,cultural,50749
legal,legal,50719
watch,watch,50655
told,tell,50565
main,main,50333
above,above,50318
association,association,50278
onto,onto,50266
sitting,sitting,50253
choice,choice,50053
final,final,49887
close,close,49874
pressure,pressure,49863
huge,huge,49767
support,support,49753
hope,hope,49710
waiting,wait,49600
deal,deal,49585
act,act,49533
stood,stand,49500
type,type,49499
that,that,49416
boys,boy,49404
hard,hard,49329
brother,brother,49266
traditional,traditional,49181
activities,activity,49097
dark,dark,49083
greater,great,49040
standing,standing,49015
giving,giving,48967
environment,environment,48961
resources,resource,48911
disease,disease,48792
died,die,48748
truth,truth,48723
numbers,number,48699
cold,cold,48678
win,win,48658
picture,picture,48627
following,following,48616
top,top,48571
speak,speak,48542
specific,specific,48452
consider,consider,48449
needs,need,48443
suddenly,suddenly,48423
republican,republican,48347
yourself,yourself,48322
open,open,48312
guess,guess,48300
individual,individual,48270
article,article,48149
popular,popular,48101
image,image,48056
heat,heat,48032
lost,lose,48012
lower,low,47997
eye,eye,47879
become,become,47862
somebody,somebody,47860
politics,politics,47806
piece,piece,47610
inside,inside,47459
instead,instead,47376
peace,peace,47366
events,event,47273
stuff,stuff,47253
points,point,47244
union,union,47120
bill,bill,47049
rather,rather,47047
end,end,46844
commercial,commercial,46810
beautiful,beautiful,46803
ten,ten,46651
used,use,46636
amount,amount,46613
showed,show,46561
sexual,sexual,46503
opportunity,opportunity,46500
stand,stand,46495
efforts,effort,46486
middle,middle,46468
design,design,46467
allow,allow,46464
effects,effect,46456
star,star,46442
professor,professor,46387
help,help,46363
skills,skill,46362
understanding,understanding,46355
district,district,46342
meeting,meeting,46325
put,put,46288
ahead,ahead,46278
necessary,necessary,46239
doctor,doctor,46091
video,video,46051
mom,mom,45884
march,march,45846
no,no,45822
organization,organization,45765
bank,bank,45732
lines,line,45729
impact,impact,45724
cost,cost,45702
positive,positive,45701
radio,radio,45699
total,total,45616
fish,fish,45612
ran,run,45529
region,region,45512
range,range,45399
box,box,45340
sit,sit,45333
write,write,45316
down,down,45254
throughout,throughout,45103
response,response,44997
conditions,condition,44875
sort,sort,44833
call,call,44789
production,production,44753
skin,skin,44722
weight,weight,44641
scene,scene,44596
eat,eat,44512
pain,pain,44425
past,past,44415
island,island,44175
section,section,44162
justice,justice,44112
global,global,44040
spend,spend,44037
page,page,44029
violence,violence,44015
loss,loss,43961
thinking,thinking,43949
interesting,interesting,43913
products,product,43841
leader,leader,43840
worked,work,43731
glass,glass,43715
modern,modern,43682
evening,evening,43614
sunday,sunday,43557
senate,senate,43532
cancer,cancer,43511
used,use,43482
break,break,43455
places,place,43356
hall,hall,43281
kitchen,kitchen,43232
absolutely,absolutely,43222
early,early,43210
earlier,early,43191
agree,agree,43176
participants,participant,43153
senior,senior,43152
senator,senator,43139
stage,stage,43013
asked,ask,43010
expect,expect,43006
walked,walk,42947
kept,keep,42927
key,key,42916
whom,whom,42866
rates,rate,42861
fresh,fresh,42854
museum,museum,42787
front,front,42785
needed,need,42749
civil,civil,42731
held,hold,42684
budget,budget,42575
sea,sea,42524
offer,offer,42514
parts,part,42511
individuals,individual,42444
alone,alone,42427
spring,spring,42346
species,species,42283
like,like,42276
mouth,mouth,42258
professional,professional,42255
council,council,42209
stock,stock,42177
club,club,42126
differences,difference,42114
step,step,42070
source,source,42046
set,set,42016
instead,instead,41965
considered,consider,41957
dollars,dollar,41944
sister,sister,41897
democrats,democrat,41897
build,build,41890
message,message,41847
nor,nor,41688
western,western,41654
arm,arm,41579
bit,bit,41538
nuclear,nuclear,41506
access,access,41447
put,put,41439
works,work,41427
effective,effective,41410
gas,gas,41392
subject,subject,41387
conference,conference,41349
july,july,41289
serve,serve,41259
best,best,41257
critical,critical,41252
rules,rule,41248
june,june,41239
answer,answer,41230
majority,majority,41225
agency,agency,41198
shows,show,41145
seeing,see,41132
theory,theory,41112
editor,editor,41105
may,may,41087
dad,dad,41026
activity,activity,40981
beginning,beginning,40974
leaving,leave,40970
living,living,40880
holding,hold,40874
decided,decide,40870
values,value,40759
follow,follow,40737
trees,tree,40722
sports,sport,40715
telling,telling,40633
capital,capital,40627
store,store,40598
republicans,republican,40515
election,election,40513
southern,southern,40479
successful,successful,40467
none,none,40455
born,born,40454
ball,ball,40429
trouble,trouble,40379
larger,large,40362
set,set,40361
ideas,idea,40324
safety,safety,40262
walk,walk,40228
therefore,therefore,40192
dinner,dinner,40183
base,base,40153
crime,crime,40116
dog,dog,40070
heavy,heavy,40006
starting,start,39975
reasons,reason,39930
sorry,sorry,39902
lead,lead,39849
brought,bring,39819
growing,growing,39802
goal,goal,39716
eventually,eventually,39680
benefits,benefit,39665
held,hold,39661
listen,listen,39627
perfect,perfect,39620
event,event,39598
gives,give,39596
please,please,39563
lose,lose,39559
prices,price,39529
drugs,drug,39523
trial,trial,39520
camera,camera,39516
marriage,marriage,39510
insurance,insurance,39447
deep,deep,39377
original,original,39361
letter,letter,39357
play,play,39292
nobody,nobody,39237
lot,lot,39230
turns,turn,39211
rock,rock,39196
african,african,39089
basic,basic,39081
nations,nation,39028
executive,executive,39025
send,send,39010
station,station,38991
further,far,38959
status,status,38954
thousands,thousand,38949
surface,surface,38928
reality,reality,38851
die,die,38697
directly,directly,38557
moved,move,38554
web,web,38521
concerned,concerned,38461
teaching,teaching,38423
second,second,38351
speech,speech,38188
costs,cost,38141
nine,nine,38091
standards,standard,38085
british,british,38084
player,player,38069
remain,remain,38066
material,material,38027
cars,car,38017
reading,reading,37950
hotel,hotel,37948
stars,star,37945
soviet,soviet,37932
immediately,immediately,37930
wide,wide,37927
lost,lose,37914
written,write,37835
powerful,powerful,37834
completely,completely,37830
fell,fall,37824
factors,factor,37809
trip,trip,37776
designed,design,37748
governor,governor,37735
term,term,37721
involved,involved,37700
character,character,37668
collection,collection,37593
chair,chair,37562
walking,walking,37536
safe,safe,37526
expected,expect,37504
slowly,slowly,37503
bit,bit,37450
network,network,37428
develop,develop,37380
labor,labor,37376
edge,edge,37340
generally,generally,37198
style,style,37198
opened,open,37192
kill,kill,37174
through,through,37103
lack,lack,37091
tough,tough,37090
chinese,chinese,37071
secretary,secretary,36979
fall,fall,36959
officer,officer,36951
happens,happen,36945
troops,troop,36943
once,once,36938
lake,lake,36933
along,along,36884
arts,art,36881
by,by,36871
ice,ice,36869
appear,appear,36827
concern,concern,36792
feeling,feeling,36765
degree,degree,36748
sales,sales,36707
homes,home,36690
potential,potential,36653
pick,pick,36636
plants,plant,36629
friday,friday,36595
front,front,36592
mountain,mountain,36591
continues,continue,36583
present,present,36520
explain,explain,36478
future,future,36473
freedom,freedom,36442
reach,reach,36438
minute,minute,36437
debate,debate,36401
writing,writing,36399
protect,protect,36355
kid,kid,36348
credit,credit,36302
fear,fear,36296
asking,ask,36273
previous,previous,36273
attorney,attorney,36258
manager,manager,36164
easily,easily,36151
weapons,weapon,36092
shown,show,36086
obviously,obviously,36040
plans,plan,36019
less,less,36016
product,product,36004
normal,normal,35970
european,european,35899
income,income,35865
tree,tree,35850
finding,finding,35847
brought,bring,35821
changed,change,35796
employees,employee,35767
christian,christian,35715
gun,gun,35698
sky,sky,35690
very,very,35669
supposed,supposed,35631
example,example,35626
built,build,35612
thought,thought,35588
won,win,35553
inside,inside,35537
terms,terms,35513
rich,rich,35502
save,save,35456
bay,bay,35441
seat,seat,35409
remains,remain,35364
leadership,leadership,35334
afternoon,afternoon,35330
magazine,magazine,35322
crisis,crisis,35319
plant,plant,35301
grew,grow,35281
avoid,avoid,35274
imagine,imagine,35274
independent,independent,35261
sell,sell,35251
league,league,35217
wind,wind,35189
return,return,35154
property,property,35153
needed,need,35121
hundred,hundred,35065
spoke,speak,34998
needs,need,34997
calling,calling,34986
quick,quick,34977
includes,include,34957
biggest,big,34951
gold,gold,34928
middle,middle,34886
met,meet,34865
grow,grow,34825
agreement,agreement,34726
memory,memory,34702
direction,direction,34693
images,image,34691
spent,spend,34641
garden,garden,34571
presence,presence,34566
steps,step,34558
structure,structure,34532
saturday,saturday,34502
largest,large,34482
required,require,34479
tomorrow,tomorrow,34466
attack,attack,34448
care,care,34407
additional,additional,34400
audience,audience,34368
appears,appear,34343
bar,bar,34296
relations,relation,34286
institute,institute,34240
putting,put,34204
willing,willing,34203
strategy,strategy,34187
winter,winter,34133
decades,decade,34122
fair,fair,34098
sources,source,34080
talk,talk,34070
items,item,34063
interview,interview,34052
killed,kill,34013
mission,mission,33978
brain,brain,33942
basis,basis,33925
discussion,discussion,33899
beach,beach,33830
turning,turning,33823
while,while,33809
animals,animal,33793
hit,hit,33729
highly,highly,33722
average,average,33669
doctors,doctor,33539
suggest,suggest,33413
researchers,researcher,33338
weekend,weekend,33299
task,task,33299
soldiers,soldier,33270
september,september,33263
tiny,tiny,33253
cause,cause,33237
speaking,speak,33190
academic,academic,33185
corner,corner,33181
investment,investment,33177
annual,annual,33153
face,face,33141
legs,leg,32999
reduce,reduce,32975
becomes,become,32956
bowl,bowl,32939
provides,provide,32927
interested,interested,32874
mostly,mostly,32868
authority,authority,32861
vision,vision,32859
teams,team,32845
means,means,32805
scientists,scientist,32797
appeared,appear,32717
responsibility,responsibility,32705
variety,variety,32681
post,post,32676
laws,law,32672
anybody,anybody,32609
reform,reform,32604
statement,statement,32551
deal,deal,32534
artist,artist,32525
anyway,anyway,32510
decisions,decision,32498
wearing,wear,32489
reported,report,32472
journal,journal,32466
past,past,32456
coffee,coffee,32408
sides,side,32393
turn,turn,32324
faith,faith,32306
foot,foot,32301
pieces,piece,32238
coach,coach,32200
calls,call,32145
distance,distance,32110
produce,produce,32030
names,name,32029
hey,hey,32026
carry,carry,31972
female,female,31949
worth,worth,31947
pass,pass,31909
native,native,31900
models,model,31854
version,version,31843
share,share,31805
sign,sign,31800
investigation,investigation,31792
experts,expert,31783
commission,commission,31737
song,song,31727
thinking,think,31687
bag,bag,31685
minister,minister,31685
unless,unless,31619
hell,hell,31562
french,french,31559
materials,material,31518
compared,compare,31514
purpose,purpose,31489
chairman,chairman,31452
policies,policy,31417
require,require,31392
funds,fund,31383
forest,forest,31383
keeping,keep,31361
afraid,afraid,31352
worse,bad,31344
wild,wild,31342
scale,scale,31278
survey,survey,31271
responsible,responsible,31195
associated,associate,31187
focus,focus,31173
played,play,31171
regular,regular,31156
looked,look,31150
protection,protection,31143
worked,work,31136
raise,raise,31133
equipment,equipment,31131
prison,prison,31124
records,record,31105
driving,drive,31101
latest,late,31064
communities,community,31058
lady,lady,31058
internet,internet,31051
na,na,31026
slightly,slightly,31019
baseball,baseball,31008
generation,generation,30977
firm,firm,30960
until,until,30956
cities,city,30945
allowed,allow,30896
educational,educational,30815
january,january,30777
terms,term,30770
chief,chief,30760
led,lead,30707
clothes,clothes,30700
choose,choose,30659
smaller,small,30639
historical,historical,30630
institutions,institution,30598
fall,fall,30592
streets,street,30589
intelligence,intelligence,30589
battle,battle,30584
suggests,suggest,30564
taxes,tax,30564
negative,negative,30550
wonderful,wonderful,30546
primary,primary,30517
okay,okay,30506
parties,party,30464
check,check,30463
interests,interest,30452
threat,threat,30432
created,create,30404
conversation,conversation,30399
salt,salt,30399
pulled,pull,30364
organizations,organization,30356
younger,young,30342
details,detail,30338
active,active,30336
date,date,30323
increase,increase,30278
officers,officer,30264
identity,identity,30263
watched,watch,30259
reports,report,30255
indian,indian,30224
residents,resident,30223
thought,think,30221
neighborhood,neighborhood,30210
twice,twice,30196
apparently,apparently,30150
apartment,apartment,30106
cool,cool,30081
hundreds,hundred,30058
factor,factor,30054
citizens,citizen,30015
competition,competition,29985
construction,construction,29981
turned,turn,29968
sir,sir,29931
card,card,29927
appropriate,appropriate,29875
cover,cover,29865
pictures,picture,29834
next,next,29831
led,lead,29824
direct,direct,29823
relatively,relatively,29817
challenge,challenge,29806
warm,warm,29776
foundation,foundation,29747
screen,screen,29743
literature,literature,29720
letters,letter,29652
developed,develop,29617
continued,continue,29617
return,return,29616
realize,realize,29602
moral,moral,29599
forget,forget,29579
determine,determine,29537
break,break,29505
complete,complete,29448
decade,decade,29446
received,receive,29439
yesterday,yesterday,29386
review,review,29362
football,football,29312
division,division,29303
goals,goal,29286
relationships,relationship,29263
begins,begin,29247
shoulder,shoulder,29209
soft,soft,29199
spirit,spirit,29177
painting,painting,29169
coast,coast,29163
walls,wall,29150
sites,site,29130
united,united,29102
becoming,become,29081
conflict,conflict,29080
light,light,29062
thinks,think,29038
judge,judge,29022
types,type,29018
run,run,29011
daily,daily,29006
opinion,opinion,28996
drive,drive,28980
dangerous,dangerous,28972
aware,aware,28948
quiet,quiet,28946
lived,live,28924
mental,mental,28912
crowd,crowd,28888
sees,see,28840
context,context,28820
bright,bright,28807
yards,yard,28782
chief,chief,28776
restaurant,restaurant,28715
stopped,stop,28706
scores,score,28701
fingers,finger,28698
fully,fully,28683
writer,writer,28673
strength,strength,28665
progress,progress,28653
pull,pull,28636
spent,spend,28586
measures,measure,28567
speed,speed,28555
smile,smile,28496
condition,condition,28488
projects,project,28461
importance,importance,28454
band,band,28453
improve,improve,28445
join,join,28435
place,place,28411
hill,hill,28406
machine,machine,28399
wine,wine,28336
rule,rule,28332
fund,fund,28331
answer,answer,28320
search,search,28310
moved,move,28299
november,november,28285
helped,help,28259
tests,test,28259
stone,stone,28240
famous,famous,28229
kinds,kind,28207
experiences,experience,28177
eastern,eastern,28170
extra,extra,28165
front,front,28141
dream,dream,28132
tells,tell,28124
october,october,28121
male,male,28115
artists,artist,28115
cell,cell,28078
august,august,28040
familiar,familiar,28029
forms,form,28018
alive,alive,27995
neck,neck,27958
animal,animal,27953
camp,camp,27867
unit,unit,27851
prevent,prevent,27834
lawyer,lawyer,27829
meant,mean,27826
starts,start,27820
presidential,presidential,27816
general,general,27808
below,below,27798
note,note,27795
plane,plane,27770
favorite,favorite,27769
included,include,27749
hope,hope,27744
youth,youth,27734
paid,pay,27695
shot,shot,27655
voters,voter,27655
murder,murder,27629
vice,vice,27627
worry,worry,27587
accept,accept,27576
serving,serve,27565
vote,vote,27545
urban,urban,27537
boat,boat,27524
religion,religion,27519
meaning,meaning,27501
runs,run,27499
healthy,healthy,27459
wish,wish,27431
knowing,know,27406
start,start,27396
fast,fast,27381
domestic,domestic,27371
lots,lots,27357
complex,complex,27343
eating,eat,27309
failure,failure,27306
state,state,27304
customers,customer,27296
reached,reach,27275
classes,class,27237
account,account,27224
otherwise,otherwise,27222
gotten,get,27198
software,software,27134
operation,operation,27056
added,add,27054
breath,breath,27049
cut,cut,27047
sugar,sugar,27043
somewhere,somewhere,27020
monday,monday,27020
basically,basically,27018
seconds,second,27018
flight,flight,27010
path,path,26998
supreme,supreme,26989
northern,northern,26976
dry,dry,26957
medicine,medicine,26953
track,track,26944
influence,influence,26931
village,village,26903
pounds,pound,26899
mayor,mayor,26880
weather,weather,26864
decide,decide,26841
plastic,plastic,26832
related,relate,26832
grand,grand,26813
candidate,candidate,26808
